Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173692,586879879,G,13.1534,-1.5334,3.1940,-12.6668,3.5430,-1.9862,2.0184,1,G,10.8430,-1.4332,-4.6422,9.6930,4.8584,1.4414,-1.8702,-1,23.5815
167807,1103578836,G,5.7380,1.3298,-3.7972,4.0897,4.0234,0.8930,-1.2339,-1,G,4.6316,-0.6368,4.3159,1.5521,4.3626,0.3487,1.7173,1,8.6574
173430,216898601,G,15.9421,15.7603,-1.8980,-1.4657,15.8742,-0.0922,-0.1198,1,G,17.3248,16.9565,-3.0917,-1.7488,17.2360,-0.1013,-0.1803,-1,1.0337
173692,601599614,G,17.2960,-2.3545,-15.2955,-7.7231,15.4756,-0.4804,-1.7235,1,G,18.7244,11.7020,11.2640,9.3154,16.2424,0.5460,0.7663,-1,34.5153
165617,123870806,G,11.1457,1.6585,-7.5062,-8.0698,7.6872,-0.9161,-1.3533,1,G,11.0742,-1.4350,-7.5191,-8.0019,7.6548,-0.9131,-1.7594,-1,3.1007
166895,148466915,G,5.0459,-0.8085,-4.4208,-2.2918,4.4941,-0.4901,-1.7517,-1,G,4.7258,0.9138,4.2599,1.8276,4.3568,0.4081,1.3595,1,9.7587
166784,9357333,G,81.4335,22.4671,27.7466,73.1899,35.7022,1.4658,0.8902,1,G,35.6843,-23.9087,-26.4785,0.7901,35.6754,0.0221,-2.3052,-1,90.7737
160957,162248775,G,11.8471,-1.0974,-5.7526,10.2979,5.8563,1.3301,-1.7593,1,G,7.4438,2.1499,4.6126,5.4315,5.0891,0.9282,1.1346,-1,11.0598
172952,1031190662,G,8.9444,1.4255,5.8086,-6.6497,5.9809,-0.9583,1.3301,1,G,8.8958,-1.6911,-5.2387,-6.9872,5.5049,-1.0596,-1.8830,-1,11.4853
173430,208289140,G,27.1428,-11.5280,-11.3936,21.7718,16.2083,1.1045,-2.3621,1,G,11.2065,10.4199,1.1944,3.9465,10.4881,0.3679,0.1141,-1,26.5328
166895,336967078,G,9.3599,-6.7833,1.4340,6.2871,6.9332,0.8139,2.9333,-1,G,7.8727,5.1430,-2.1936,5.5412,5.5913,0.8750,-0.4032,1,12.4011
160957,176900784,G,8.5651,-0.5497,2.4088,-8.2004,2.4707,-1.9148,1.7952,1,T,2.8874,0.8177,0.2682,-2.7542,0.8606,-1.8800,0.3170,-1,1.9801
160957,40504550,G,5.3343,3.2937,-3.0857,2.8413,4.5133,0.5940,-0.7528,-1,G,6.0990,3.7048,-3.9610,2.7876,5.4139,0.4937,-0.8186,1,0.6308
166033,1122287568,G,13.6211,4.3078,5.4326,-11.7240,6.9333,-1.2962,0.9004,1,G,5.1289,-3.0619,-2.6733,-3.1261,4.0647,-0.7084,-2.4238,-1,11.0395
163589,11449473,G,22.0610,-1.3900,9.0375,20.0765,9.1438,1.5278,1.7234,1,G,13.7636,1.7742,-12.0442,-6.4199,12.1742,-0.5055,-1.4245,-1,32.9804
160957,71126896,G,10.6435,4.9415,-2.9342,-8.9579,5.7470,-1.2269,-0.5358,1,G,17.6850,-3.6947,3.1827,16.9991,4.8765,1.9618,2.4305,-1,27.1335
160957,99264820,G,25.7752,9.0975,-8.5461,22.5511,12.4820,1.3537,-0.7542,-1,G,16.2226,-10.2462,3.8697,-11.9667,10.9526,-0.9454,2.7805,1,40.3559
163589,13925173,G,23.0283,11.6007,4.6140,-19.3501,12.4846,-1.2221,0.3786,-1,G,18.8646,-11.0799,-8.4013,-12.7481,13.9049,-0.8213,-2.4928,1,26.6478
166895,141184716,G,27.4811,-11.8752,-4.2740,24.4114,12.6209,1.4138,-2.7961,1,G,32.3277,-16.1513,-6.9299,27.1327,17.5752,1.2188,-2.7363,-1,3.0496
163233,5073545,G,22.2839,-9.1087,0.1783,-20.3362,9.1104,-1.5429,3.1220,-1,G,19.0813,-8.0879,2.9367,-17.0308,8.6045,-1.4343,2.7933,1,3.0601
173430,212128227,G,15.8106,5.5574,-7.2498,12.9042,9.1348,1.1453,-0.9168,1,G,8.8071,2.2469,7.8012,-3.4127,8.1183,-0.4089,1.2904,-1,21.3243
166895,67345624,G,30.0719,-0.3041,-9.2647,-28.6073,9.2697,-1.8453,-1.6036,-1,G,16.1624,2.7391,12.6201,9.7183,12.9139,0.6952,1.3571,1,41.9955
163589,16427468,G,25.4999,-5.9295,-3.8361,24.5023,7.0622,1.9573,-2.5674,1,G,20.3632,-5.2644,3.2283,19.4039,6.1754,1.8624,2.5915,-1,7.0711
166895,114091339,G,8.2149,-0.1613,5.4771,6.1195,5.4795,0.9616,1.6002,-1,G,6.1912,-0.2441,-5.7603,2.2537,5.7655,0.3816,-1.6131,1,11.7124
